Perceptron

type,Precision,Recall,F1,Accuracy,T,K,Mistakes,Iteration
train,0.0,0.0,0.0,98.8888888889,100,1000,0.001,1000,90
test,0.0,0.0,0.0,70.0,100,1000,0.001,3
train,0.0,0.0,0.0,98.9010989011,100,1000,0.001,1000,91
test,0.0,0.0,0.0,70.0,100,1000,0.001,3
train,0.0,0.0,0.0,98.9130434783,100,1000,0.001,1000,92
test,0.0,0.0,0.0,70.0,100,1000,0.001,3
train,0.0,0.0,0.0,98.9247311828,100,1000,0.001,1000,93
test,0.0,0.0,0.0,70.0,100,1000,0.001,3
train,0.0,0.0,0.0,98.9361702128,100,1000,0.001,1000,94
test,0.0,0.0,0.0,70.0,100,1000,0.001,3
train,0.0,0.0,0.0,98.9473684211,100,1000,0.001,1000,95
test,0.0,0.0,0.0,70.0,100,1000,0.001,3
train,0.0,0.0,0.0,98.9583333333,100,1000,0.001,1000,96
test,0.0,0.0,0.0,70.0,100,1000,0.001,3
train,0.0,0.0,0.0,98.9690721649,100,1000,0.001,1000,97
test,0.0,0.0,0.0,70.0,100,1000,0.001,3
train,0.0,0.0,0.0,98.9795918367,100,1000,0.001,1000,98
test,0.0,0.0,0.0,70.0,100,1000,0.001,3
train,0.0,0.0,0.0,98.9898989899,100,1000,0.001,1000,99
test,0.0,0.0,0.0,70.0,100,1000,0.001,3
train,0.0,0.0,0.0,99.0,100,1000,0.001,1000,100
test,0.0,0.0,0.0,70.0,100,1000,0.001,3
train,0.0,0.0,0.0,0.0,100,2000,0.001,2000,1
test,0.0,0.0,0.0,70.0,100,2000,0.001,3
train,0.0,0.0,0.0,50.0,100,2000,0.001,2000,2
test,0.0,0.0,0.0,70.0,100,2000,0.001,3
train,0.0,0.0,0.0,66.6666666667,100,2000,0.001,2000,3
test,0.0,0.0,0.0,70.0,100,2000,0.001,3
train,0.0,0.0,0.0,75.0,100,2000,0.001,2000,4
test,0.0,0.0,0.0,70.0,100,2000,0.001,3
train,0.0,0.0,0.0,80.0,100,2000,0.001,2000,5
test,0.0,0.0,0.0,70.0,100,2000,0.001,3
train,0.0,0.0,0.0,83.3333333333,100,2000,0.001,2000,6
test,0.0,0.0,0.0,70.0,100,2000,0.001,3
train,0.0,0.0,0.0,85.7142857143,100,2000,0.001,2000,7
test,0.0,0.0,0.0,70.0,100,2000,0.001,3
train,0.0,0.0,0.0,87.5,100,2000,0.001,2000,8
test,0.0,0.0,0.0,70.0,100,2000,0.001,3
train,0.0,0.0,0.0,88.8888888889,100,2000,0.001,2000,9
test,0.0,0.0,0.0,70.0,100,2000,0.001,3
train,0.0,0.0,0.0,90.0,100,2000,0.001,2000,10
test,0.0,0.0,0.0,70.0,100,2000,0.001,3
train,0.0,0.0,0.0,90.9090909091,100,2000,0.001,2000,11
test,0.0,0.0,0.0,70.0,100,2000,0.001,3
train,0.0,0.0,0.0,91.6666666667,100,2000,0.001,2000,12
test,0.0,0.0,0.0,70.0,100,2000,0.001,3
train,0.0,0.0,0.0,92.3076923077,100,2000,0.001,2000,13
test,0.0,0.0,0.0,70.0,100,2000,0.001,3
train,0.0,0.0,0.0,92.8571428571,100,2000,0.001,2000,14
test,0.0,0.0,0.0,70.0,100,2000,0.001,3
train,0.0,0.0,0.0,93.3333333333,100,2000,0.001,2000,15
test,0.0,0.0,0.0,70.0,100,2000,0.001,3
train,0.0,0.0,0.0,93.75,100,2000,0.001,2000,16
test,0.0,0.0,0.0,70.0,100,2000,0.001,3
train,0.0,0.0,0.0,94.1176470588,100,2000,0.001,2000,17
test,0.0,0.0,0.0,70.0,100,2000,0.001,3
train,0.0,0.0,0.0,94.4444444444,100,2000,0.001,2000,18
test,0.0,0.0,0.0,70.0,100,2000,0.001,3
train,0.0,0.0,0.0,94.7368421053,100,2000,0.001,2000,19
test,0.0,0.0,0.0,70.0,100,2000,0.001,3
train,0.0,0.0,0.0,95.0,100,2000,0.001,2000,20
test,0.0,0.0,0.0,70.0,100,2000,0.001,3
train,0.0,0.0,0.0,95.2380952381,100,2000,0.001,2000,21
test,0.0,0.0,0.0,70.0,100,2000,0.001,3
train,0.0,0.0,0.0,95.4545454545,100,2000,0.001,2000,22
test,0.0,0.0,0.0,70.0,100,2000,0.001,3
train,0.0,0.0,0.0,95.652173913,100,2000,0.001,2000,23
test,0.0,0.0,0.0,70.0,100,2000,0.001,3
train,0.0,0.0,0.0,95.8333333333,100,2000,0.001,2000,24
test,0.0,0.0,0.0,70.0,100,2000,0.001,3
train,0.0,0.0,0.0,96.0,100,2000,0.001,2000,25
test,0.0,0.0,0.0,70.0,100,2000,0.001,3
train,0.0,0.0,0.0,96.1538461538,100,2000,0.001,2000,26
test,0.0,0.0,0.0,70.0,100,2000,0.001,3
train,0.0,0.0,0.0,96.2962962963,100,2000,0.001,2000,27
test,0.0,0.0,0.0,70.0,100,2000,0.001,3
train,0.0,0.0,0.0,96.4285714286,100,2000,0.001,2000,28
test,0.0,0.0,0.0,70.0,100,2000,0.001,3
train,0.0,0.0,0.0,96.5517241379,100,2000,0.001,2000,29
test,0.0,0.0,0.0,70.0,100,2000,0.001,3
train,0.0,0.0,0.0,96.6666666667,100,2000,0.001,2000,30
test,0.0,0.0,0.0,70.0,100,2000,0.001,3
train,0.0,0.0,0.0,96.7741935484,100,2000,0.001,2000,31
test,0.0,0.0,0.0,70.0,100,2000,0.001,3
train,0.0,0.0,0.0,96.875,100,2000,0.001,2000,32
test,0.0,0.0,0.0,70.0,100,2000,0.001,3
train,0.0,0.0,0.0,96.9696969697,100,2000,0.001,2000,33
test,0.0,0.0,0.0,70.0,100,2000,0.001,3
train,0.0,0.0,0.0,97.0588235294,100,2000,0.001,2000,34
test,0.0,0.0,0.0,70.0,100,2000,0.001,3
train,0.0,0.0,0.0,97.1428571429,100,2000,0.001,2000,35
test,0.0,0.0,0.0,70.0,100,2000,0.001,3
train,0.0,0.0,0.0,97.2222222222,100,2000,0.001,2000,36
test,0.0,0.0,0.0,70.0,100,2000,0.001,3
train,0.0,0.0,0.0,97.2972972973,100,2000,0.001,2000,37
test,0.0,0.0,0.0,70.0,100,2000,0.001,3
train,0.0,0.0,0.0,97.3684210526,100,2000,0.001,2000,38
test,0.0,0.0,0.0,70.0,100,2000,0.001,3
train,0.0,0.0,0.0,97.4358974359,100,2000,0.001,2000,39
test,0.0,0.0,0.0,70.0,100,2000,0.001,3
train,0.0,0.0,0.0,97.5,100,2000,0.001,2000,40
test,0.0,0.0,0.0,70.0,100,2000,0.001,3
train,0.0,0.0,0.0,97.5609756098,100,2000,0.001,2000,41
test,0.0,0.0,0.0,70.0,100,2000,0.001,3
train,0.0,0.0,0.0,97.619047619,100,2000,0.001,2000,42
test,0.0,0.0,0.0,70.0,100,2000,0.001,3
train,0.0,0.0,0.0,97.6744186047,100,2000,0.001,2000,43
test,0.0,0.0,0.0,70.0,100,2000,0.001,3
train,0.0,0.0,0.0,97.7272727273,100,2000,0.001,2000,44
test,0.0,0.0,0.0,70.0,100,2000,0.001,3
train,0.0,0.0,0.0,97.7777777778,100,2000,0.001,2000,45
test,0.0,0.0,0.0,70.0,100,2000,0.001,3
train,0.0,0.0,0.0,97.8260869565,100,2000,0.001,2000,46
test,0.0,0.0,0.0,70.0,100,2000,0.001,3
train,0.0,0.0,0.0,97.8723404255,100,2000,0.001,2000,47
test,0.0,0.0,0.0,70.0,100,2000,0.001,3
train,0.0,0.0,0.0,97.9166666667,100,2000,0.001,2000,48
test,0.0,0.0,0.0,70.0,100,2000,0.001,3
train,0.0,0.0,0.0,97.9591836735,100,2000,0.001,2000,49
test,0.0,0.0,0.0,70.0,100,2000,0.001,3
train,0.0,0.0,0.0,98.0,100,2000,0.001,2000,50
test,0.0,0.0,0.0,70.0,100,2000,0.001,3
train,0.0,0.0,0.0,98.0392156863,100,2000,0.001,2000,51
test,0.0,0.0,0.0,70.0,100,2000,0.001,3
train,0.0,0.0,0.0,98.0769230769,100,2000,0.001,2000,52
test,0.0,0.0,0.0,70.0,100,2000,0.001,3
train,0.0,0.0,0.0,98.1132075472,100,2000,0.001,2000,53
test,0.0,0.0,0.0,70.0,100,2000,0.001,3
train,0.0,0.0,0.0,98.1481481481,100,2000,0.001,2000,54
test,0.0,0.0,0.0,70.0,100,2000,0.001,3
train,0.0,0.0,0.0,98.1818181818,100,2000,0.001,2000,55
test,0.0,0.0,0.0,70.0,100,2000,0.001,3
train,0.0,0.0,0.0,98.2142857143,100,2000,0.001,2000,56
test,0.0,0.0,0.0,70.0,100,2000,0.001,3
train,0.0,0.0,0.0,98.2456140351,100,2000,0.001,2000,57
test,0.0,0.0,0.0,70.0,100,2000,0.001,3
train,0.0,0.0,0.0,98.275862069,100,2000,0.001,2000,58
test,0.0,0.0,0.0,70.0,100,2000,0.001,3
train,0.0,0.0,0.0,98.3050847458,100,2000,0.001,2000,59
test,0.0,0.0,0.0,70.0,100,2000,0.001,3
train,0.0,0.0,0.0,98.3333333333,100,2000,0.001,2000,60
test,0.0,0.0,0.0,70.0,100,2000,0.001,3
train,0.0,0.0,0.0,98.3606557377,100,2000,0.001,2000,61
test,0.0,0.0,0.0,70.0,100,2000,0.001,3
train,0.0,0.0,0.0,98.3870967742,100,2000,0.001,2000,62
test,0.0,0.0,0.0,70.0,100,2000,0.001,3
train,0.0,0.0,0.0,98.4126984127,100,2000,0.001,2000,63
test,0.0,0.0,0.0,70.0,100,2000,0.001,3
train,0.0,0.0,0.0,98.4375,100,2000,0.001,2000,64
test,0.0,0.0,0.0,70.0,100,2000,0.001,3
train,0.0,0.0,0.0,98.4615384615,100,2000,0.001,2000,65
test,0.0,0.0,0.0,70.0,100,2000,0.001,3
train,0.0,0.0,0.0,98.4848484848,100,2000,0.001,2000,66
test,0.0,0.0,0.0,70.0,100,2000,0.001,3
train,0.0,0.0,0.0,98.5074626866,100,2000,0.001,2000,67
test,0.0,0.0,0.0,70.0,100,2000,0.001,3
train,0.0,0.0,0.0,98.5294117647,100,2000,0.001,2000,68
test,0.0,0.0,0.0,70.0,100,2000,0.001,3
train,0.0,0.0,0.0,98.5507246377,100,2000,0.001,2000,69
test,0.0,0.0,0.0,70.0,100,2000,0.001,3
train,0.0,0.0,0.0,98.5714285714,100,2000,0.001,2000,70
test,0.0,0.0,0.0,70.0,100,2000,0.001,3
train,0.0,0.0,0.0,98.5915492958,100,2000,0.001,2000,71
test,0.0,0.0,0.0,70.0,100,2000,0.001,3
train,0.0,0.0,0.0,98.6111111111,100,2000,0.001,2000,72
test,0.0,0.0,0.0,70.0,100,2000,0.001,3
train,0.0,0.0,0.0,98.6301369863,100,2000,0.001,2000,73
test,0.0,0.0,0.0,70.0,100,2000,0.001,3
train,0.0,0.0,0.0,98.6486486486,100,2000,0.001,2000,74
